"Notes"	"County"	"County Code"	"Gender"	"Gender Code"	"Drug/Alcohol Induced"	"Drug/Alcohol Induced Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Dallas County, AL"	"01047"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	481	40643	1183.48	0.01%
	"Dallas County, AL"	"01047"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	538	34863	1543.18	0.01%
	"DeKalb County, AL"	"01049"	"Female"	"F"	"Drug-induced causes"	"D"	16	71893	Unreliable	0.00%
	"DeKalb County, AL"	"01049"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	831	71893	1155.88	0.01%
	"DeKalb County, AL"	"01049"	"Male"	"M"	"Drug-induced causes"	"D"	25	71005	35.21	0.00%
	"DeKalb County, AL"	"01049"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	805	71005	1133.72	0.01%
	"Elmore County, AL"	"01051"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	760	84275	901.81	0.01%
	"Elmore County, AL"	"01051"	"Male"	"M"	"Drug-induced causes"	"D"	14	78821	Unreliable	0.00%
	"Elmore County, AL"	"01051"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	830	78821	1053.02	0.01%
	"Escambia County, AL"	"01053"	"Female"	"F"	"Drug-induced causes"	"D"	10	36328	Unreliable	0.00%
	"Escambia County, AL"	"01053"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	436	36328	1200.18	0.01%
	"Escambia County, AL"	"01053"	"Male"	"M"	"Drug-induced causes"	"D"	21	37053	56.68	0.00%
	"Escambia County, AL"	"01053"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	480	37053	1295.44	0.01%
	"Etowah County, AL"	"01055"	"Female"	"F"	"Drug-induced causes"	"D"	20	105620	18.94	0.00%
	"Etowah County, AL"	"01055"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	1371	105620	1298.05	0.02%
	"Etowah County, AL"	"01055"	"Male"	"M"	"Drug-induced causes"	"D"	36	99149	36.31	0.00%
	"Etowah County, AL"	"01055"	"Male"	"M"	"Alcohol-induced causes"	"A"	16	99149	Unreliable	0.00%
	"Etowah County, AL"	"01055"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	1411	99149	1423.11	0.02%
	"Fayette County, AL"	"01057"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	213	16775	1269.75	0.00%
	"Fayette County, AL"	"01057"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	230	15960	1441.10	0.00%
	"Franklin County, AL"	"01059"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	365	31120	1172.88	0.01%
	"Franklin County, AL"	"01059"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	375	31605	1186.52	0.01%
	"Geneva County, AL"	"01061"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	347	26912	1289.39	0.01%
	"Geneva County, AL"	"01061"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	386	25673	1503.53	0.01%
	"Greene County, AL"	"01063"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	88	8628	1019.94	0.00%
	"Greene County, AL"	"01063"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	115	7716	1490.41	0.00%
	"Hale County, AL"	"01065"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	183	15419	1186.85	0.00%
	"Hale County, AL"	"01065"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	201	13958	1440.03	0.00%
	"Henry County, AL"	"01067"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	207	17805	1162.59	0.00%
	"Henry County, AL"	"01067"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	235	16609	1414.90	0.00%
	"Houston County, AL"	"01069"	"Female"	"F"	"Drug-induced causes"	"D"	16	109690	Unreliable	0.00%
	"Houston County, AL"	"01069"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	1106	109690	1008.30	0.02%
	"Houston County, AL"	"01069"	"Male"	"M"	"Drug-induced causes"	"D"	15	100914	Unreliable	0.00%
	"Houston County, AL"	"01069"	"Male"	"M"	"Alcohol-induced causes"	"A"	21	100914	20.81	0.00%
	"Houston County, AL"	"01069"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	1128	100914	1117.78	0.02%
	"Jackson County, AL"	"01071"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	663	52605	1260.34	0.01%
	"Jackson County, AL"	"01071"	"Male"	"M"	"Alcohol-induced causes"	"A"	10	50757	Unreliable	0.00%
	"Jackson County, AL"	"01071"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	749	50757	1475.66	0.01%
	"Jefferson County, AL"	"01073"	"Female"	"F"	"Drug-induced causes"	"D"	176	695050	25.32	0.00%
	"Jefferson County, AL"	"01073"	"Female"	"F"	"Alcohol-induced causes"	"A"	37	695050	5.32	0.00%
	"Jefferson County, AL"	"01073"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	7016	695050	1009.42	0.12%
	"Jefferson County, AL"	"01073"	"Male"	"M"	"Drug-induced causes"	"D"	352	622823	56.52	0.01%
	"Jefferson County, AL"	"01073"	"Male"	"M"	"Alcohol-induced causes"	"A"	112	622823	17.98	0.00%
	"Jefferson County, AL"	"01073"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	6995	622823	1123.11	0.12%
	"Lamar County, AL"	"01075"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	187	14122	1324.18	0.00%
	"Lamar County, AL"	"01075"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	161	13527	1190.21	0.00%
	"Lauderdale County, AL"	"01077"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	1106	96299	1148.51	0.02%
	"Lauderdale County, AL"	"01077"	"Male"	"M"	"Drug-induced causes"	"D"	21	88817	23.64	0.00%
	"Lauderdale County, AL"	"01077"	"Male"	"M"	"Alcohol-induced causes"	"A"	21	88817	23.64	0.00%
	"Lauderdale County, AL"	"01077"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	1129	88817	1271.15	0.02%
	"Lawrence County, AL"	"01079"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	380	33800	1124.26	0.01%
	"Lawrence County, AL"	"01079"	"Male"	"M"	"Alcohol-induced causes"	"A"	10	32081	Unreliable	0.00%
	"Lawrence County, AL"	"01079"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	455	32081	1418.28	0.01%
	"Lee County, AL"	"01081"	"Female"	"F"	"Drug-induced causes"	"D"	11	167004	Unreliable	0.00%
	"Lee County, AL"	"01081"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	1064	167004	637.11	0.02%
	"Lee County, AL"	"01081"	"Male"	"M"	"Drug-induced causes"	"D"	12	161479	Unreliable	0.00%
	"Lee County, AL"	"01081"	"Male"	"M"	"Alcohol-induced causes"	"A"	19	161479	Unreliable	0.00%
	"Lee County, AL"	"01081"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	1222	161479	756.75	0.02%
	"Limestone County, AL"	"01083"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	836	97489	857.53	0.01%
	"Limestone County, AL"	"01083"	"Male"	"M"	"Alcohol-induced causes"	"A"	13	97600	Unreliable	0.00%
	"Limestone County, AL"	"01083"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	881	97600	902.66	0.02%
	"Lowndes County, AL"	"01085"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	125	10460	1195.03	0.00%
	"Lowndes County, AL"	"01085"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	160	9240	1731.60	0.00%
	"Macon County, AL"	"01087"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	227	19906	1140.36	0.00%
	"Macon County, AL"	"01087"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	299	16601	1801.10	0.01%
	"Madison County, AL"	"01089"	"Female"	"F"	"Drug-induced causes"	"D"	61	377988	16.14	0.00%
	"Madison County, AL"	"01089"	"Female"	"F"	"Alcohol-induced causes"	"A"	13	377988	Unreliable	0.00%
	"Madison County, AL"	"01089"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	3212	377988	849.76	0.06%
	"Madison County, AL"	"01089"	"Male"	"M"	"Drug-induced causes"	"D"	71	361440	19.64	0.00%
	"Madison County, AL"	"01089"	"Male"	"M"	"Alcohol-induced causes"	"A"	21	361440	5.81	0.00%
	"Madison County, AL"	"01089"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	3334	361440	922.42	0.06%
	"Marengo County, AL"	"01091"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	284	20157	1408.94	0.00%
	"Marengo County, AL"	"01091"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	286	17772	1609.27	0.01%
	"Marion County, AL"	"01093"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	430	30160	1425.73	0.01%
	"Marion County, AL"	"01093"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	430	29312	1466.98	0.01%
	"Marshall County, AL"	"01095"	"Female"	"F"	"Drug-induced causes"	"D"	20	97664	20.48	0.00%
	"Marshall County, AL"	"01095"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	1110	97664	1136.55	0.02%
	"Marshall County, AL"	"01095"	"Male"	"M"	"Drug-induced causes"	"D"	19	95219	Unreliable	0.00%
	"Marshall County, AL"	"01095"	"Male"	"M"	"Alcohol-induced causes"	"A"	16	95219	Unreliable	0.00%
	"Marshall County, AL"	"01095"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	1152	95219	1209.84	0.02%
	"Mobile County, AL"	"01097"	"Female"	"F"	"Drug-induced causes"	"D"	45	433516	10.38	0.00%
	"Mobile County, AL"	"01097"	"Female"	"F"	"Alcohol-induced causes"	"A"	21	433516	4.84	0.00%
	"Mobile County, AL"	"01097"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	4361	433516	1005.96	0.08%
	"Mobile County, AL"	"01097"	"Male"	"M"	"Drug-induced causes"	"D"	75	393451	19.06	0.00%
	"Mobile County, AL"	"01097"	"Male"	"M"	"Alcohol-induced causes"	"A"	47	393451	11.95	0.00%
	"Mobile County, AL"	"01097"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	4518	393451	1148.30	0.08%
	"Monroe County, AL"	"01099"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	241	21926	1099.15	0.00%
	"Monroe County, AL"	"01099"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	298	19874	1499.45	0.01%
	"Montgomery County, AL"	"01101"	"Female"	"F"	"Drug-induced causes"	"D"	18	239333	Unreliable	0.00%
	"Montgomery County, AL"	"01101"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	2067	239333	863.65	0.04%
	"Montgomery County, AL"	"01101"	"Male"	"M"	"Drug-induced causes"	"D"	15	212916	Unreliable	0.00%
	"Montgomery County, AL"	"01101"	"Male"	"M"	"Alcohol-induced causes"	"A"	20	212916	9.39	0.00%
	"Montgomery County, AL"	"01101"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	2098	212916	985.37	0.04%
	"Morgan County, AL"	"01103"	"Female"	"F"	"Drug-induced causes"	"D"	14	121198	Unreliable	0.00%
	"Morgan County, AL"	"01103"	"Female"	"F"	"Alcohol-induced causes"	"A"	12	121198	Unreliable	0.00%
	"Morgan County, AL"	"01103"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	1335	121198	1101.50	0.02%
	"Morgan County, AL"	"01103"	"Male"	"M"	"Drug-induced causes"	"D"	27	117570	22.97	0.00%
	"Morgan County, AL"	"01103"	"Male"	"M"	"Alcohol-induced causes"	"A"	16	117570	Unreliable	0.00%
	"Morgan County, AL"	"01103"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	1416	117570	1204.39	0.02%
	"Perry County, AL"	"01105"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	110	9630	1142.26	0.00%
	"Perry County, AL"	"01105"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	127	8433	1505.99	0.00%
	"Pickens County, AL"	"01107"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	242	19906	1215.71	0.00%
	"Pickens County, AL"	"01107"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	272	19962	1362.59	0.00%
	"Pike County, AL"	"01109"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	300	34435	871.21	0.01%
	"Pike County, AL"	"01109"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	350	32017	1093.17	0.01%
	"Randolph County, AL"	"01111"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	272	23313	1166.73	0.00%
	"Randolph County, AL"	"01111"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	314	22134	1418.63	0.01%
	"Russell County, AL"	"01113"	"Female"	"F"	"Drug-induced causes"	"D"	14	60230	Unreliable	0.00%
	"Russell County, AL"	"01113"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	557	60230	924.79	0.01%
	"Russell County, AL"	"01113"	"Male"	"M"	"Drug-induced causes"	"D"	17	55512	Unreliable	0.00%
	"Russell County, AL"	"01113"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	632	55512	1138.49	0.01%
	"St. Clair County, AL"	"01115"	"Female"	"F"	"Drug-induced causes"	"D"	21	89823	23.38	0.00%
	"St. Clair County, AL"	"01115"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	836	89823	930.72	0.01%
	"St. Clair County, AL"	"01115"	"Male"	"M"	"Drug-induced causes"	"D"	28	88379	31.68	0.00%
	"St. Clair County, AL"	"01115"	"Male"	"M"	"Alcohol-induced causes"	"A"	12	88379	Unreliable	0.00%
	"St. Clair County, AL"	"01115"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	1041	88379	1177.88	0.02%
	"Shelby County, AL"	"01117"	"Female"	"F"	"Drug-induced causes"	"D"	28	223936	12.50	0.00%
	"Shelby County, AL"	"01117"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	1527	223936	681.89	0.03%
	"Shelby County, AL"	"01117"	"Male"	"M"	"Drug-induced causes"	"D"	47	209473	22.44	0.00%
	"Shelby County, AL"	"01117"	"Male"	"M"	"Alcohol-induced causes"	"A"	26	209473	12.41	0.00%
	"Shelby County, AL"	"01117"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	1549	209473	739.47	0.03%
	"Sumter County, AL"	"01119"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	157	13632	1151.70	0.00%
	"Sumter County, AL"	"01119"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	172	11486	1497.48	0.00%
	"Talladega County, AL"	"01121"	"Female"	"F"	"Drug-induced causes"	"D"	11	82747	Unreliable	0.00%
	"Talladega County, AL"	"01121"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	950	82747	1148.08	0.02%
	"Talladega County, AL"	"01121"	"Male"	"M"	"Drug-induced causes"	"D"	14	77059	Unreliable	0.00%
	"Talladega County, AL"	"01121"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	1032	77059	1339.23	0.02%
	"Tallapoosa County, AL"	"01123"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	507	41670	1216.70	0.01%
	"Tallapoosa County, AL"	"01123"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	599	39194	1528.30	0.01%
	"Tuscaloosa County, AL"	"01125"	"Female"	"F"	"Drug-induced causes"	"D"	19	216897	Unreliable	0.00%
	"Tuscaloosa County, AL"	"01125"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	1738	216897	801.30	0.03%
	"Tuscaloosa County, AL"	"01125"	"Male"	"M"	"Drug-induced causes"	"D"	37	201369	18.37	0.00%
	"Tuscaloosa County, AL"	"01125"	"Male"	"M"	"Alcohol-induced causes"	"A"	16	201369	Unreliable	0.00%
	"Tuscaloosa County, AL"	"01125"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	1768	201369	877.99	0.03%
	"Walker County, AL"	"01127"	"Female"	"F"	"Drug-induced causes"	"D"	11	65210	Unreliable	0.00%
	"Walker County, AL"	"01127"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	972	65210	1490.57	0.02%
	"Walker County, AL"	"01127"	"Male"	"M"	"Drug-induced causes"	"D"	17	62022	Unreliable	0.00%
	"Walker County, AL"	"01127"	"Male"	"M"	"Alcohol-induced causes"	"A"	13	62022	Unreliable	0.00%
	"Walker County, AL"	"01127"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	1005	62022	1620.39	0.02%
	"Washington County, AL"	"01129"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	167	16648	1003.12	0.00%
	"Washington County, AL"	"01129"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	221	16056	1376.43	0.00%
	"Wilcox County, AL"	"01131"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	148	11022	1342.77	0.00%
	"Wilcox County, AL"	"01131"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	168	9978	1683.70	0.00%
	"Winston County, AL"	"01133"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	294	24007	1224.64	0.01%
	"Winston County, AL"	"01133"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	318	23282	1365.86	0.01%
	"Aleutians West Census Area, AK"	"02016"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	16	7466	Unreliable	0.00%
	"Anchorage Borough, AK"	"02020"	"Female"	"F"	"Drug-induced causes"	"D"	46	284686	16.16	0.00%
	"Anchorage Borough, AK"	"02020"	"Female"	"F"	"Alcohol-induced causes"	"A"	61	284686	21.43	0.00%
	"Anchorage Borough, AK"	"02020"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	1516	284686	532.52	0.03%
	"Anchorage Borough, AK"	"02020"	"Male"	"M"	"Drug-induced causes"	"D"	66	294852	22.38	0.00%
	"Anchorage Borough, AK"	"02020"	"Male"	"M"	"Alcohol-induced causes"	"A"	83	294852	28.15	0.00%
	"Anchorage Borough, AK"	"02020"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	1766	294852	598.94	0.03%
	"Bethel Census Area, AK"	"02050"	"Female"	"F"	"Alcohol-induced causes"	"A"	18	17741	Unreliable	0.00%
	"Bethel Census Area, AK"	"02050"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	76	17741	428.39	0.00%
	"Bethel Census Area, AK"	"02050"	"Male"	"M"	"Alcohol-induced causes"	"A"	12	18861	Unreliable	0.00%
	"Bethel Census Area, AK"	"02050"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	141	18861	747.57	0.00%
	"Denali Borough, AK"	"02068"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	16	2319	Unreliable	0.00%
	"Dillingham Census Area, AK"	"02070"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	32	4905	652.40	0.00%
	"Dillingham Census Area, AK"	"02070"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	46	5011	917.98	0.00%
	"Fairbanks North Star Borough, AK"	"02090"	"Female"	"F"	"Alcohol-induced causes"	"A"	15	90415	Unreliable	0.00%
	"Fairbanks North Star Borough, AK"	"02090"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	359	90415	397.06	0.01%
	"Fairbanks North Star Borough, AK"	"02090"	"Male"	"M"	"Drug-induced causes"	"D"	22	105405	20.87	0.00%
	"Fairbanks North Star Borough, AK"	"02090"	"Male"	"M"	"Alcohol-induced causes"	"A"	33	105405	31.31	0.00%
